ear_mean,ear_min,yaw_mean,yaw_std,pitch_mean,pitch_std,frown_mean,nose_delta_sum,gaze_variance_mean,shoulder_angle_mean,mar_mean,roll_angle_mean,label,label_name
0.3993,0.3746,0.5495,0.0281,0.6090,0.0133,0.4327,0.1159,0.0007,109.2348,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4090,0.3568,0.5466,0.0176,0.6381,0.0062,0.4475,0.0811,0.0004,102.8197,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3552,0.2862,0.5507,0.0235,0.6693,0.0133,0.4451,0.1583,0.0003,101.2815,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3678,0.3389,0.5403,0.0371,0.6815,0.0121,0.4477,0.1400,0.0004,105.4531,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3908,0.3549,0.5438,0.0186,0.6468,0.0286,0.4449,0.1644,0.0004,102.7300,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3915,0.3703,0.5314,0.0439,0.6528,0.0178,0.4459,0.3012,0.0004,99.5101,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3821,0.3228,0.5649,0.0495,0.6429,0.0304,0.4425,0.3348,0.0012,108.7802,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3934,0.3696,0.5383,0.0235,0.6309,0.0076,0.4355,0.1748,0.0011,110.6178,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4126,0.3882,0.5292,0.0169,0.6424,0.0084,0.4317,0.1659,0.0002,105.9876,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3905,0.2821,0.5757,0.0178,0.5607,0.0770,0.4446,0.3199,0.0005,104.1551,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3940,0.3248,0.5505,0.0153,0.6364,0.0342,0.4287,0.4117,0.0011,103.9807,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3847,0.3288,0.5437,0.0521,0.6084,0.0225,0.4276,0.6939,0.0014,117.4499,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4047,0.3305,0.5319,0.1498,0.6224,0.0297,0.4194,0.5624,0.0091,103.0651,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4111,0.3537,0.5255,0.0351,0.6314,0.0134,0.4194,0.2809,0.0046,102.8360,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3827,0.3203,0.5007,0.0650,0.6046,0.0136,0.4272,0.3397,0.0010,102.1690,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3314,0.2779,0.5877,0.0597,0.5818,0.0350,0.4202,0.2298,0.0035,100.4310,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3195,0.2679,0.5084,0.0121,0.4899,0.0244,0.3998,0.0446,0.0018,119.5973,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.2795,0.2222,0.5226,0.0176,0.4586,0.0581,0.4005,0.1244,0.0004,111.7167,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3479,0.2720,0.5111,0.0408,0.5498,0.0823,0.4121,0.2007,0.0009,121.9112,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3954,0.3610,0.5341,0.0549,0.5726,0.0133,0.4229,0.2695,0.0007,107.8292,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4085,0.3607,0.5684,0.0221,0.5856,0.0443,0.4149,0.8115,0.0009,106.9893,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3852,0.3357,0.5875,0.0812,0.5843,0.0217,0.4154,0.4052,0.0009,113.9626,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3809,0.2685,0.5314,0.0226,0.5551,0.0332,0.4099,0.6359,0.0014,111.3914,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4035,0.3666,0.5551,0.0076,0.5818,0.0077,0.4172,0.1041,0.0006,110.5779,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4136,0.3694,0.4947,0.0144,0.5934,0.0250,0.4071,0.1180,0.0001,111.7943,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3888,0.3063,0.5149,0.0960,0.5658,0.0294,0.4074,0.3722,0.0005,109.5456,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3961,0.3428,0.5062,0.1393,0.5883,0.0135,0.4144,0.4516,0.0042,105.7713,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4018,0.3580,0.4908,0.0616,0.6006,0.0124,0.4247,0.3230,0.0047,109.6881,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3704,0.2728,0.5452,0.0682,0.5760,0.0205,0.4261,0.3134,0.0019,107.9281,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3893,0.2656,0.5811,0.0219,0.5954,0.0297,0.4311,0.2041,0.0011,104.6161,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.2938,0.2272,0.5404,0.0151,0.3395,0.0780,0.4046,0.2146,0.0018,106.5732,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3196,0.2465,0.5700,0.0207,0.4357,0.0904,0.4144,0.2743,0.0008,105.3936,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3978,0.3489,0.5635,0.0191,0.5794,0.0462,0.4147,0.2849,0.0009,104.5738,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3935,0.3539,0.5687,0.0145,0.5728,0.0248,0.4128,0.2424,0.0005,105.5567,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3892,0.3454,0.5852,0.0109,0.5666,0.0199,0.4094,0.1811,0.0004,107.4107,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3854,0.3144,0.5780,0.0102,0.5893,0.0145,0.4082,0.1534,0.0004,104.6775,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4061,0.3768,0.5631,0.0108,0.5978,0.0155,0.4064,0.1414,0.0002,105.8227,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4049,0.3581,0.5207,0.0734,0.5939,0.0375,0.4219,0.4919,0.0011,102.3541,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3817,0.3093,0.5776,0.0280,0.5752,0.0084,0.4206,0.2887,0.0040,114.3038,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3920,0.3424,0.6596,0.1627,0.5610,0.0224,0.4147,0.2108,0.0021,104.3929,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3741,0.3400,0.9431,0.0333,0.5233,0.0268,0.3567,0.0935,0.0019,202.5194,0.0500,0.00,1,DISTRACCIÓN
0.2747,0.2419,0.7748,0.0628,0.5254,0.0401,0.3610,0.0701,0.0005,235.1319,0.0500,0.00,1,DISTRACCIÓN
0.4139,0.2940,0.9323,0.1323,0.6055,0.0242,0.3474,0.0876,0.0005,157.3696,0.0500,0.00,1,DISTRACCIÓN
0.3658,0.2433,0.8102,0.2464,0.5532,0.0435,0.3650,0.2554,0.0008,241.9893,0.0500,0.00,1,DISTRACCIÓN
1.0702,0.4072,-0.2447,0.2035,0.5793,0.0262,0.3297,0.2068,0.0132,122.4225,0.0500,0.00,1,DISTRACCIÓN
0.4257,0.3286,0.2861,0.2538,0.6176,0.0566,0.3897,0.1970,0.0026,107.8007,0.0500,0.00,1,DISTRACCIÓN
0.3833,0.3380,0.4136,0.0147,0.7999,0.0145,0.4255,0.0891,0.0027,127.4730,0.0500,0.00,1,DISTRACCIÓN
0.3939,0.3238,0.4777,0.0625,0.7866,0.0207,0.4376,0.1648,0.0006,109.0437,0.0500,0.00,1,DISTRACCIÓN
0.9023,0.3184,-0.0832,0.2664,0.6010,0.0982,0.3572,0.4173,0.0047,100.4948,0.0500,0.00,1,DISTRACCIÓN
0.7990,0.6373,-0.2210,0.0375,0.5137,0.0083,0.3418,0.0293,0.0031,99.7174,0.0500,0.00,1,DISTRACCIÓN
0.8092,0.7562,-0.1720,0.0185,0.5155,0.0040,0.3468,0.0137,0.0000,97.5344,0.0500,0.00,1,DISTRACCIÓN
0.7627,0.4193,-0.1518,0.0423,0.5179,0.0068,0.3483,0.0378,0.0000,96.0039,0.0500,0.00,1,DISTRACCIÓN
0.3697,0.3113,0.4256,0.0786,0.5230,0.0121,0.3974,0.2017,0.0036,103.2303,0.0500,0.00,1,DISTRACCIÓN
0.3862,0.3546,0.6712,0.1088,0.5624,0.0131,0.3919,0.1130,0.0019,102.2534,0.0500,0.00,1,DISTRACCIÓN
0.3403,0.3117,0.6439,0.0260,0.5555,0.0054,0.3995,0.0540,0.0003,101.2899,0.0500,0.00,1,DISTRACCIÓN
0.3629,0.3167,0.6163,0.0117,0.5519,0.0065,0.4048,0.0378,0.0001,101.6675,0.0500,0.00,1,DISTRACCIÓN
0.3461,0.3113,0.5826,0.0137,0.5514,0.0144,0.4068,0.0743,0.0001,99.8913,0.1800,0.00,2,FATIGA
0.3238,0.2428,0.5481,0.0712,0.5095,0.1764,0.3959,0.3066,0.0007,110.7025,0.1800,0.00,2,FATIGA
0.2703,0.2016,0.5963,0.3295,0.5621,0.1549,0.3882,1.2319,0.0032,180.1740,0.1800,0.00,2,FATIGA
0.3460,0.2844,0.5027,0.2159,0.6578,0.0333,0.3957,0.9154,0.0028,132.5351,0.1800,0.00,2,FATIGA
0.3106,0.2396,0.5680,0.0930,0.6229,0.0232,0.3949,0.3758,0.0021,99.8844,0.1800,0.00,2,FATIGA
0.2831,0.2517,0.5725,0.0330,0.4724,0.0804,0.3888,0.2735,0.0018,183.1698,0.1800,0.00,2,FATIGA
0.3451,0.2328,0.5022,0.0586,0.6030,0.0145,0.3935,0.3097,0.0011,101.6010,0.1800,0.00,2,FATIGA
0.3498,0.2863,0.5007,0.0546,0.7166,0.0869,0.3912,0.2471,0.0015,104.1380,0.1800,0.00,2,FATIGA
0.3314,0.2738,0.5800,0.0301,0.7728,0.0146,0.4055,0.0877,0.0020,103.7573,0.1800,0.00,2,FATIGA
0.2914,0.2118,0.4904,0.0552,0.4292,0.1582,0.3845,0.3523,0.0034,105.8423,0.1800,0.00,2,FATIGA
0.2449,0.1909,0.4914,0.0286,0.5788,0.0490,0.3917,0.2495,0.0011,106.3603,0.1800,0.00,2,FATIGA
0.3296,0.2726,0.4943,0.0348,0.6175,0.1758,0.4142,0.4365,0.0020,187.7414,0.1800,0.00,2,FATIGA
0.3654,0.2507,0.5032,0.0169,0.5693,0.1337,0.4144,0.3281,0.0034,216.5266,0.1800,0.00,2,FATIGA
0.3480,0.2806,0.5183,0.0217,0.6591,0.0549,0.4060,0.2151,0.0015,221.6701,0.1800,0.00,2,FATIGA
0.2977,0.2725,0.5072,0.0183,0.6412,0.0116,0.3947,0.0737,0.0005,148.0073,0.1800,0.00,2,FATIGA
0.3029,0.2478,0.6695,0.1721,0.5875,0.0156,0.3876,0.2706,0.0006,123.6500,0.1800,0.00,2,FATIGA
0.3067,0.1741,0.6071,0.3129,0.5443,0.0987,0.3790,0.9200,0.0049,149.3943,0.1800,0.00,2,FATIGA
0.3538,0.2663,0.4120,0.0376,0.4961,0.0669,0.4027,0.5327,0.0061,188.7992,0.1800,0.00,2,FATIGA
0.3545,0.2261,0.4733,0.0145,0.5402,0.0166,0.4091,0.1185,0.0026,151.4887,0.1800,0.00,2,FATIGA
0.3819,0.3094,0.5195,0.1319,0.5502,0.0250,0.4046,0.2745,0.0007,104.6624,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3132,0.2379,0.6931,0.1263,0.5037,0.0509,0.3922,0.5228,0.0024,109.4372,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3511,0.2171,0.4652,0.1673,0.5784,0.0704,0.4112,0.5603,0.0044,101.8559,0.1800,0.00,3,SOBREESTIMULACIÓN
0.2991,0.1837,0.5401,0.0211,0.4949,0.1472,0.4158,0.6509,0.0033,104.4269,0.1800,0.00,3,SOBREESTIMULACIÓN
0.4195,0.3084,0.4221,0.0680,0.6466,0.0305,0.4086,0.2875,0.0028,103.8149,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3699,0.3106,0.5272,0.0428,0.6160,0.0242,0.4182,0.2135,0.0038,109.0081,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3827,0.3337,0.4824,0.0067,0.6336,0.0066,0.4137,0.0355,0.0024,192.3471,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3998,0.3819,0.5047,0.0033,0.6404,0.0115,0.4097,0.0529,0.0000,201.9670,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3639,0.1925,0.4962,0.0296,0.6068,0.0634,0.4086,0.1736,0.0003,137.0641,0.0500,0.00,4,AGOBIO POSTURAL
0.1629,0.1316,0.4326,0.0226,0.4472,0.0197,0.3799,0.1411,0.0030,257.1349,0.0500,0.00,4,AGOBIO POSTURAL
0.2085,0.1143,0.5360,0.0331,0.4148,0.0623,0.3813,0.4182,0.0171,119.5502,0.0500,0.00,4,AGOBIO POSTURAL
0.2705,0.2221,0.5239,0.0210,0.3922,0.0621,0.3845,0.2125,0.0123,97.2501,0.0500,0.00,4,AGOBIO POSTURAL
0.3806,0.2889,0.4847,0.1136,0.6378,0.0344,0.4045,0.3211,0.0043,102.3608,0.0500,0.00,4,AGOBIO POSTURAL
0.5666,0.4162,0.3450,0.1655,0.7555,0.0505,0.3782,0.2323,0.0044,100.1298,0.0500,0.00,4,AGOBIO POSTURAL
0.5538,0.3081,0.4245,0.2711,0.6834,0.0378,0.3884,0.3159,0.0025,99.6529,0.0500,0.00,4,AGOBIO POSTURAL
0.3777,0.3071,0.6130,0.2177,0.7174,0.0363,0.4171,0.5893,0.0034,150.3405,0.0500,0.00,4,AGOBIO POSTURAL
0.4138,0.3750,0.5554,0.0228,0.7391,0.0644,0.4282,0.3601,0.0016,101.6150,0.0500,0.00,4,AGOBIO POSTURAL
0.3403,0.2978,0.5753,0.0200,0.5696,0.0751,0.4116,0.1873,0.0011,99.3438,0.0500,0.00,4,AGOBIO POSTURAL
0.2759,0.2555,0.6675,0.0757,0.4513,0.0424,0.3935,0.1207,0.0004,99.4894,0.0500,0.00,4,AGOBIO POSTURAL
0.2406,0.2043,0.7418,0.0264,0.3518,0.0238,0.3751,0.1250,0.0005,103.5592,0.0500,0.00,4,AGOBIO POSTURAL
0.3513,0.2190,0.5783,0.0971,0.6267,0.1163,0.4196,0.2790,0.0025,106.6451,0.0500,0.00,4,AGOBIO POSTURAL
0.3663,0.3456,0.5228,0.0338,0.7748,0.0552,0.4385,0.1082,0.0017,156.5819,0.0500,0.00,4,AGOBIO POSTURAL
0.3676,0.3049,0.5044,0.0331,0.7047,0.0978,0.4133,0.1450,0.0005,125.0909,0.0500,0.00,4,AGOBIO POSTURAL
0.3296,0.2708,0.5877,0.0204,0.5523,0.0265,0.3932,0.0449,0.0010,100.2750,0.0500,0.00,4,AGOBIO POSTURAL
0.3565,0.3151,0.5661,0.0015,0.6186,0.0050,0.4132,0.0161,0.0000,100.3943,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3277,0.2714,0.5691,0.0032,0.6154,0.0044,0.4158,0.0244,0.0000,99.9129,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3398,0.2592,0.6097,0.0251,0.6130,0.0173,0.4182,0.2041,0.0006,98.1041,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3589,0.2955,0.5546,0.0131,0.6581,0.0113,0.4254,0.0688,0.0019,99.9507,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3498,0.3356,0.5388,0.0048,0.6461,0.0146,0.4189,0.0363,0.0003,100.5276,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3596,0.3252,0.5352,0.0191,0.6142,0.0412,0.4220,0.1043,0.0001,100.7414,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3492,0.2722,0.5360,0.0362,0.6020,0.0224,0.4221,0.1776,0.0001,99.8109,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3914,0.3134,0.4945,0.0490,0.6157,0.0370,0.4216,0.2601,0.0006,98.7763,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3408,0.2456,0.5254,0.0201,0.6418,0.0246,0.4194,0.2255,0.0010,100.1835,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3734,0.3056,0.4870,0.0134,0.7362,0.0300,0.4398,0.1356,0.0015,100.3923,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4114,0.3966,0.5119,0.0101,0.6912,0.0091,0.4242,0.0395,0.0004,101.3451,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3951,0.3719,0.5212,0.0053,0.6827,0.0073,0.4149,0.0469,0.0001,99.9465,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.3813,0.3180,0.5227,0.0111,0.6818,0.0219,0.4231,0.2501,0.0001,99.3135,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
0.4140,0.3834,0.5523,0.0150,0.6987,0.0195,0.4273,0.2768,0.0006,97.1051,0.0500,0.00,0,ENFOQUE / ESTUDIO NORMAL
