window_id,subject_id,session_id,task_name,timestamp_start,timestamp_end,ear_mean,ear_min,ear_std,ear_asymmetry_mean,gaze_variance_mean,perclos_mean,blink_rate_per_min,yaw_mean,yaw_std,pitch_mean,pitch_std,roll_angle_mean,roll_angle_std,head_forward_mean,nose_delta_sum,frown_mean,brow_raise_mean,mar_mean,mar_max,jaw_drop_mean,lip_tension_mean,shoulder_angle_mean,torso_slump_mean,hands_detected_mean,hand_face_dist_min,predominant_touch_zone,sample_count,label,label_name
1,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536563631,1787536565655,0.3981,0.3638,0.0235,0.0095,0.000024,0.0000,0.0,0.5358,0.0097,0.5680,0.0093,-5.06,0.35,0.3069,0.0325,0.3991,0.0379,0.0275,0.0406,0.4465,0.3651,253.47,0.8073,0.05,0.3151,"ninguna",19,0,"ESTUDIO NORMAL / NEUTRO"
2,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536565655,1787536567767,0.3926,0.2826,0.0333,0.0101,0.000013,0.0000,0.0,0.5393,0.0034,0.5722,0.0062,-5.68,0.30,0.3197,0.0213,0.3995,0.0379,0.0253,0.0316,0.4434,0.3665,218.58,0.8095,0.00,1.0000,"ninguna",17,0,"ESTUDIO NORMAL / NEUTRO"
3,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536567767,1787536569854,0.3678,0.3555,0.0063,0.0095,0.000010,0.0000,0.0,0.5413,0.0028,0.5674,0.0021,-6.22,0.17,0.3131,0.0161,0.4016,0.0395,0.0251,0.0309,0.4424,0.3671,253.45,0.8007,0.00,1.0000,"ninguna",15,0,"ESTUDIO NORMAL / NEUTRO"
4,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536569854,1787536571657,0.4034,0.2859,0.0440,0.0101,0.000006,0.0000,0.0,0.5434,0.0036,0.5718,0.0080,-6.30,0.35,0.3046,0.0192,0.3989,0.0372,0.0252,0.0312,0.4407,0.3655,253.09,0.7972,0.00,1.0000,"ninguna",11,0,"ESTUDIO NORMAL / NEUTRO"
5,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536598873,1787536600886,0.4140,0.3906,0.0201,0.0321,0.000003,0.0000,0.0,0.4463,0.0039,0.5763,0.0084,-6.73,0.27,0.2718,0.2889,0.3952,0.0319,0.0435,0.1146,0.4456,0.3531,259.56,0.7736,0.00,1.0000,"ninguna",16,0,"ESTUDIO NORMAL / NEUTRO"
6,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536600886,1787536602906,0.3945,0.2854,0.0269,0.0154,0.000014,0.0000,0.0,0.4646,0.0105,0.5732,0.0053,-5.95,0.57,0.2635,0.0220,0.3937,0.0315,0.0334,0.0384,0.4509,0.3610,257.37,0.7593,0.00,1.0000,"ninguna",22,0,"ESTUDIO NORMAL / NEUTRO"
7,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536602906,1787536604920,0.4136,0.2892,0.0304,0.0089,0.000021,0.0000,0.0,0.4718,0.0036,0.5621,0.0101,-4.89,0.27,0.2647,0.0219,0.3918,0.0312,0.0539,0.0981,0.4577,0.3593,257.16,0.7400,0.00,1.0000,"ninguna",22,0,"ESTUDIO NORMAL / NEUTRO"
8,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536604920,1787536606969,0.4035,0.3056,0.0336,0.0072,0.000070,0.0000,0.0,0.5042,0.0213,0.5748,0.0134,-2.27,2.41,0.2591,0.0593,0.3974,0.0340,0.0295,0.0424,0.4500,0.3644,257.33,0.7222,0.00,1.0000,"ninguna",22,0,"ESTUDIO NORMAL / NEUTRO"
9,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536606969,1787536607591,0.4267,0.4054,0.0124,0.0100,0.000238,0.0000,0.0,0.5237,0.0019,0.5843,0.0042,0.29,0.33,0.2606,0.0087,0.4039,0.0343,0.0232,0.0273,0.4449,0.3643,258.12,0.7330,0.00,1.0000,"ninguna",7,0,"ESTUDIO NORMAL / NEUTRO"
10,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536748389,1787536749857,0.4240,0.3352,0.0332,0.0033,0.000008,0.0000,0.0,0.4948,0.0113,0.5793,0.0091,-2.85,0.87,0.2613,0.0457,0.3905,0.0304,0.0296,0.0393,0.4401,0.3707,259.11,0.7401,0.00,1.0000,"ninguna",15,0,"ESTUDIO NORMAL / NEUTRO"
11,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536817604,1787536819773,0.4096,0.3560,0.0215,0.0063,0.000001,0.0000,0.0,0.5090,0.0028,0.5513,0.0060,-1.82,0.30,0.2719,0.0255,0.3871,0.0294,0.0514,0.0597,0.4681,0.3571,260.09,0.7132,0.00,1.0000,"ninguna",16,0,"ESTUDIO NORMAL / NEUTRO"
12,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536850560,1787536852631,0.4225,0.3641,0.0224,0.0129,0.000003,0.0000,0.0,0.5604,0.0053,0.5668,0.0065,-4.09,0.30,0.2712,0.0334,0.3885,0.0298,0.0483,0.0587,0.4532,0.3489,262.40,0.7359,0.00,1.0000,"ninguna",20,0,"ESTUDIO NORMAL / NEUTRO"
13,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536852631,1787536853157,0.3798,0.3569,0.0281,0.0111,0.000009,0.0000,0.0,0.5595,0.0038,0.5630,0.0111,-3.62,0.72,0.2708,0.0137,0.3977,0.0329,0.0420,0.0503,0.4524,0.3594,234.78,0.7342,0.00,1.0000,"ninguna",6,0,"ESTUDIO NORMAL / NEUTRO"
14,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536941282,1787536943290,0.4188,0.3316,0.0298,0.0043,0.000029,0.0000,0.0,0.5162,0.0117,0.5623,0.0117,-5.14,0.49,0.2892,0.0918,0.3920,0.0316,0.0878,0.1512,0.4640,0.3518,100.33,0.7550,0.00,1.0000,"ninguna",17,0,"ESTUDIO NORMAL / NEUTRO"
15,"Sujeto_02","Sesion_A","Lectura_Estudio",1787536943290,1787536945019,0.3788,0.3085,0.0207,0.0032,0.000034,0.0000,0.0,0.5092,0.0044,0.5639,0.0170,-6.13,0.67,0.2821,0.0297,0.3941,0.0344,0.0594,0.1140,0.4537,0.3655,100.09,0.7526,0.00,1.0000,"ninguna",20,0,"ESTUDIO NORMAL / NEUTRO"
16,"Sujeto_02","Sesion_A","Lectura_Estudio",1787537003780,1787537005373,0.4596,0.4005,0.0219,0.0031,0.000007,0.0000,0.0,0.5247,0.0056,0.6059,0.0060,-4.74,0.17,0.2773,0.0685,0.3877,0.0296,0.0279,0.0342,0.4348,0.3550,103.42,0.7770,0.00,1.0000,"ninguna",17,0,"ESTUDIO NORMAL / NEUTRO"
17,"Sujeto_02","Sesion_A","Lectura_Estudio",1787537236209,1787537238270,0.4074,0.2771,0.0346,0.0072,0.000040,0.0000,0.0,0.5146,0.0060,0.5554,0.0127,-1.91,1.58,0.2859,0.0944,0.3934,0.0349,0.0183,0.0286,0.4546,0.3585,112.68,0.7588,0.00,1.0000,"ninguna",19,0,"ESTUDIO NORMAL / NEUTRO"
18,"Sujeto_02","Sesion_A","Lectura_Estudio",1787537238270,1787537240382,0.4013,0.3429,0.0162,0.0055,0.000560,0.0000,0.0,0.5249,0.0034,0.5319,0.0103,-10.20,1.06,0.2925,0.0558,0.3925,0.0357,0.0267,0.0340,0.4585,0.3708,110.62,0.7545,0.00,1.0000,"ninguna",16,0,"ESTUDIO NORMAL / NEUTRO"
19,"Sujeto_02","Sesion_A","Lectura_Estudio",1787537240382,1787537242516,0.3856,0.3500,0.0154,0.0020,0.000111,0.0000,0.0,0.5233,0.0025,0.5405,0.0060,-8.64,0.26,0.2890,0.0103,0.3909,0.0364,0.0246,0.0279,0.4535,0.3724,109.38,0.7542,0.00,1.0000,"ninguna",12,0,"ESTUDIO NORMAL / NEUTRO"
